CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Estructura de la Materia 1,,,Jueves,9:00,12:00,0,1101,DF,Dmitruk,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores/Organización del Computador II ,,,Jueves,17:00,19:00,0,1101,,,
Análisis Real/Medida y Probabilidad ,,,Jueves,8:00,13:00,0,1102,DM,Paternostro/Singer,2º cuatrimestre de 2025
Introducción a la Biología Molecular y Celular ,,Turno C,Jueves,13:30,17:30,0,1102,FBMC,Colman,d26/8-21/11
Introducción a la Biología Molecular y Celular ,,Turno B,Jueves,18:00,22:00,0,1102,FBMC,Colman,d26/8-21/11
Laboratorio de Datos,,,Jueves,9:00,16:00,0,1103,DC,,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores/Organización del Computador II ,,,Jueves,17:00,22:00,0,1103,DC,,
Laboratorio de Datos,,,Jueves,9:00,16:00,0,1104,DC,,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores/Organización del Computador II ,,,Jueves,17:00,22:00,0,1104,DC,,
Organización del Computador I /Sistemas Digitales,,,Jueves,8:00,13:00,0,1105,DC,,2º cuatrimestre de 2025
Fundamentos y Aplicaciones de Blockchains,,,Jueves,14:00,17:00,0,1105,DC,,2º cuatrimestre de 2025
Organización del Computador I /Sistemas Digitales,,,Jueves,19:00,22:00,0,1105,DC,,
Organización del Computador I /Sistemas Digitales,,,Jueves,8:00,13:00,0,1106,DC,,2º cuatrimestre de 2025
Organización del Computador I /Sistemas Digitales,,,Jueves,19:00,22:00,0,1106,DC,,
Organización del Computador I /Sistemas Digitales,,,Jueves,8:00,13:00,0,1107,DC,,2º cuatrimestre de 2025
Métodos avanzados de Síntesis y Procesamiento de Imágenes,18/09/2025,,Jueves,13:00,17:00,0,1107,DC,,2º cuatrimestre de 2025
Introducción a las Bases de Datos 2025,,,Jueves,18:00,22:00,0,1107,DC,,
Bioinformática Avanzada/Programación y Algoritmos en Bioinformática Avanzada,,,Jueves,9:00,13:00,0,1108,QB,Marti,2º cuatrimestre de 2025
Circuitos Neuronales y Comportamiento ,,,Jueves,14:00,17:00,0,1108,FBMC,Berón,2º cuatrimestre de 2025
Biometría,,Turno Noche,Jueves,18:00,21:30,0,1108,EGE,Palmerio,2º cuatrimestre de 2025
