CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE
Estructura de la Materia 1,,,Jueves,9:00,12:00,0,1101,DF,Dmitruk
Arq.y Org.Computadores/Organización II,,,Jueves,17:00,19:00,0,1101,,
Análisis Real/Medida y Probabilidad ,,,Jueves,8:00,13:00,0,1102,DM,Paternostro/Singer
Int.a la Biología Molecular y Celular,,TC,Jueves,13:30,17:30,0,1102,FBMC,Colman
Int.a la Biología Molecular y Celular,,TB,Jueves,18:00,22:00,0,1102,FBMC,Colman
Laboratorio de Datos,,,Jueves,9:00,16:00,0,1103,DC,
Arq.y Org.Computadores/Organización II,,,Jueves,17:00,22:00,0,1103,DC,
Laboratorio de Datos,,,Jueves,9:00,16:00,0,1104,DC,
Arq.y Org.Computadores/Organización II,,,Jueves,17:00,22:00,0,1104,DC,
Sistemas Digitales/Organización I,,,Jueves,8:00,13:00,0,1105,DC,
Fund.y Aplicaciones de Blockchains,,,Jueves,14:00,17:00,0,1105,DC,
Sistemas Digitales/Organización I,,,Jueves,19:00,22:00,0,1105,DC,
Sistemas Digitales/Organización I,,,Jueves,8:00,13:00,0,1106,DC,
Sistemas Digitales/Organización I,,,Jueves,19:00,22:00,0,1106,DC,
Sistemas Digitales/Organización I,,,Jueves,8:00,13:00,0,1107,DC,
Introducción a las Bases de Datos 2025,,,Jueves,18:00,22:00,0,1107,DC,
Bioinformática Avanzada,,,Jueves,9:00,13:00,0,1108,QB,Marti
Circuitos Neuronales y Comportamiento ,,,Jueves,14:00,17:00,0,1108,FBMC,Berón
Biometría,,TN,Jueves,18:00,21:30,0,1108,EGE,Palmerio
Modelado Baroclínico del Océano (Salió),16/10/2025,,Jueves,9:00,13:00,0,1109,,
Herramientas de visualización de datos,NO13/11/2025,,Jueves,14:00,18:00,0,1109,IC,
Seguridad de la Información,16/10/2025-23/10/2025,,Jueves,18:00,22:00,0,1109,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,13/01/1903,,
Semana de los profesorados,13/11/2025,,Jueves,14:00,17:00,30/12/1899,13/01/1903,,
Circulación General,,,Jueves,9:00,12:00,30/12/1899,1110,DCAO,Risaro
Neurofisiología Integrativa,16/10/2025,,Jueves,13:00,17:00,0,1110,,
Estadística/Int.Est. y Ciencia de Datos,,,Jueves,19:00,21:00,0,1110,IC,Valdora
Int. a la Nanofotónica,16/10/2025,,Jueves,8:30,14:00,0,1111,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1111,,
Aprendizaje Reforzado ,06/11/2025-13/11/2025-20/11/2025-27/11/2025,,Jueves,18:00,20:00,0,1111,DATA,
Fundamentos de Teoría de Grafos,16/10/2025,,Jueves,9:30,12:30,0,1113,DC,Bonomo
Fund.Biología Molecular y Fis. Cel.,16/10/2025,TT,Jueves,13:00,17:00,30/12/1899,17/01/1903,FBMC,Nadra
Drug discovery ,13/11/2025,,Jueves,9:00,14:00,0,1113,,Zaiat
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1113,,
Tesis Santiago Ramirez,23/10/2025,,Jueves,11:00,13:00,0,1114,,
Carrera de Seguridad en el Ámb.Laboral,6/11/2025,,Jueves,14:00,20:00,0,1114,,
Semana de los profesorados ,13/11/2025,,Jueves,9:00,13:00,0,1114,,
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1114,,
Genética Molecular,,,Jueves,10:00,13:00,0,1115,FBMC,Guberman/Dain
Genética Molecular,,,Jueves,13:00,16:00,0,1115,FBMC,Guberman/Dain
Historia de la Ciencia,,,Jueves,18:00,22:00,0,1115,CCPEMS,Folguera
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,17/04/1903,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,30/12/1899,1203,,
Geometría Proyectiva,,,Jueves,17:00,22:00,0,17/04/1903,DM,Quallbrun/Aza
Química Orgánica ,,TA1,Jueves,9:00,12:00,0,18/04/1903,QO,Duran Fernando
Tesis Nadia M. Barrera,16/10/2025,,Jueves,12:00,14:00,0,1204,,
Química Orgánica ,,TB1,Jueves,14:00,17:00,0,1204,QO,Duran Fernando
Fund.Biología Molecular y Fis. Cel.,,TN,Jueves,17:00,21:00,30/12/1899,1204,FBMC,Nadra
Biotecnología Vegetal,,,Jueves,9:30,12:30,30/12/1899,1205,FBMC,Capiati/Segretin
Biotecnología Vegetal,,,Jueves,13:00,17:00,30/12/1899,19/04/1903,FBMC,Capiati/Segretin
Estadística Computacional ,,,Jueves,17:00,22:00,0,19/04/1903,DC,Laje
Estadística 1+Estadística 2 ,,,Jueves,10:30,12:30,0,20/04/1903,IC,4to.bimestre-
Química Orgánica ,,TB2,Jueves,14:00,17:00,0,20/04/1903,QO,Duran Fernando
Química Orgánica ,,TC,Jueves,18:00,21:00,0,1206,QO,Duran Fernando
Química Orgánica ,,TA2,Jueves,9:00,12:00,0,1207,QO,Duran Fernando
Coloquio DM ,16/10/2025,,Jueves,13:00,16:00,0,1207,,
DOV Charla Carrera Atmósfera/Oceano,23/10/2025,,Jueves,13:00,16:00,0,1207,,
Tesis AUTHIER ,30/10/2025,,Jueves,13:00,16:00,0,1207,,
