CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Paradigmas de Programación,NO7/10/2025,Práctica,Martes,9:00,14:00,0,1101,DC,Barembaum,2º cuatrimestre de 2025
Química Orgánica 2,07/10/2025,Parcial,Martes,9:00,14:00,0,1101,,,
Toxicología y Química Legal,,Teórica,Martes,16:30,18:30,0,1101,QB,,2º cuatrimestre de 2025
Int.a la Biología Molecular para Paleontólogos/Introducción a la Biología Molecular y Celular d26/8/21/11,,Seminario,Martes,13:30,17:30,0,1102,FBMC,Colman,2º cuatrimestre de 2025
Introducción a las Bases de Datos 2025,,Teórico-Práctico,Martes,18:00,22:00,0,1102,DC,D'arrigo,2º cuatrimestre de 2025
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,11:00,14:00,0,1103,DC,Acevedo,
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,19:00,22:00,0,1103,DC,Acevedo,
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,11:00,14:00,0,1104,DC,Acevedo,
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,19:00,22:00,0,1104,DC,Acevedo,
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,11:00,14:00,0,1105,DC,Acevedo,
Ingeniería de Software)/Ingeniería de Software I ,,PC,Martes,19:00,22:00,0,1105,DC,Wilkinson,2º cuatrimestre de 2025
Estadística Computacional ,,PC,Martes,17:00,22:00,0,1106,DC,Laje,
Ingeniería de Software)/Ingeniería de Software I ,,PC,Martes,19:00,22:00,0,1107,DC,Wilkinson,2º cuatrimestre de 2025
Laboratorio de Procesamiento de Información Meteorológica/Laboratorio de Procesamiento de Información Oceanográfica,,PC,Martes,8:00,13:00,0,1108,DCAO,Osman/Balmaceda,2º cuatrimestre de 2025
Control Biológico (Carla Cécere),11/11/2025,,Martes,13:00,17:00,0,1108,,,
Biometría ,,PC,Martes,18:00,21:30,0,1108,EGE,Palmerio,2º cuatrimestre de 2025
Modelado Baroclínico del Océano (Salió),07/10/2025-14/10/2025,,Martes,9:00,13:00,0,1109,,,
Genética Molecular,04/11/2025,,Martes,10:00,16:00,0,1109,FBMC,Guberman/Dain,2º cuatrimestre de 2025
Álgebra Lineal Computacional/Métodos Numéricos ,,PC,Martes,19:00,22:00,0,1109,DC,Acevedo,
Reserva Comisión Interna,07/10/2025-14/10/2025-21/10/2025-28/10/2025-4/11/2025-11/11/2025-18/11/2025-25/11/2025,,Martes,11:00,14:00,0,1110,,,
Taller de Datos,07/10/2025-21/10/2025-04/11/2025-18/11/2025-02/12/2025,,Martes,15:00,17:00,0,1110,,,
Ingeniería de Software/Ingeniería de Software I ,,PC,Martes,19:00,22:00,0,1110,DC,Wilkinson,2º cuatrimestre de 2025
