CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE
Enfoque Estadístico del Aprendizaje (23/8-06/12),,Teórico-Práctico,Sábados,9:00,13:00,0,1101,DATA,
Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional,NO 23/08/2025,,Sábados,13:00,17:00,0,1103,DC,Mocskos
Torneo Argentino de Programación,23/08/2025,,Sábados,9:00,22:00,0,1108,,
Torneo Argentino de Programación,23/08/2025,,Sábados,9:00,22:00,0,1109,,
Técnicas de Reducción y Visualización de Datos ,,PC,Sábados,9:00,14:00,0,1112,IC,Bianco/Parada
Técnicas de Reducción y Visualización de Datos ,,Teórico-Práctico,Sábados,9:00,14:00,0,1113,IC,Bianco/Parada
Torneo Argentino de Programación,,,Sábados,9:00,22:00,0,1403,,
SAN2025,04/10/2025,,Sábados,9:00,18:00,2,5,,
SAN2025,04/10/2025,,Sábados,9:00,18:00,2,Magna,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Sabado,7:00,10:00,2,102,CBC,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Sabado,10:00,13:00,2,102,CBC,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Sabado,7:00,10:00,2,103,CBC,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Sabado,7:00,10:00,2,109,CBC,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Sabado,10:00,13:00,2,109,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,10:00,13:00,2,101,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,13:00,15:00,2,101,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,15:00,17:00,2,101,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,13:00,15:00,2,102,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,15:00,17:00,2,102,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,13:00,15:00,2,103,CBC,
(CBC)-FILOSOFIA,,GONZALEZ A.,Sábado,15:00,17:00,2,103,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,19:00,21:00,2,103,CBC,
(CBC)-FILOSOFIA,,GONZALEZ A.,Sábado,21:00,23:00,2,103,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,7:00,10:00,2,104,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,10:00,13:00,2,104,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,7:00,10:00,2,107,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,10:00,13:00,2,107,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,13:00,16:00,2,107,CBC,
(CBC)-SOCIOLOGIA,,GAMALLO,Sábado,7:00,9:00,2,108,CBC,
(CBC)-SOCIOLOGIA,,GAMALLO,Sábado,9:00,11:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,11:00,13:00,2,108,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,13:00,15:00,2,110,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,13:00,16:00,2,113,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Sábado,7:00,9:00,2,205,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Sábado,9:00,11:00,2,205,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Sábado,11:00,13:00,2,205,CBC,
(CBC)-QUIMICA-(05),,IDOYAGA,Sábado,13:00,16:00,2,208,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Sábado,7:00,10:00,2,210,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,7:00,9:00,2,211,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,9:00,11:00,2,211,CBC,
(CBC)-FILOSOFIA,,CASTRO,Sábado,11:00,13:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,13:00,15:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,15:00,17:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,19:00,21:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Sábado,21:00,23:00,2,211,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,13:00,15:00,2,214,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,15:00,17:00,2,214,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,19:00,21:00,2,214,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Sábado,21:00,23:00,2,214,CBC,
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Sábados,13:00,17:00,0,1105,CBC,
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Sábados,13:00,17:00,0,1106,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Sábados,7:00,10:00,2,110,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Sábados,7:00,10:00,2,111,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Sábados,10:00,13:00,2,111,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,7:00,10:00,2,208,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,10:00,13:00,2,208,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,7:00,10:00,2,213,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,10:00,13:00,2,213,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,7:00,10:00,2,214,CBC,
(CBC)-FISICA-(03),,UNICA,Sábados,10:00,13:00,2,214,CBC,
