CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA
Química Biológica ,,Problemas,Viernes,10:00,13:00,0,1101,QB
Microbiología ,,Teórico,Viernes,14:30,16:30,0,1101,QB
Almacenamiento y Recuperación de la Información-Base de Datos ,,Práctica,Viernes,17:00,22:00,0,1101,DC
Introducción a la Biología Molecular y Celular ,,Seminario,Viernes,9:00,13:00,0,1102,FBMC
Física Teórica de Altas Energías,,,Viernes,14:00,17:00,0,1102,
Regresión Lineal  ,,,Viernes,17:00,21:30,0,1102,IC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,9:00,14:00,0,1103,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,14:00,19:00,0,1103,DC
Ingeniería de Software ,,PC,viernes,19:00,22:00,0,1103,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,9:00,14:00,0,1104,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,14:00,19:00,0,1104,DC
Ingeniería de Software/Ingeniería de Software I,,PC,viernes,19:00,22:00,0,1104,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,9:00,14:00,0,1105,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,17:00,22:00,0,1105,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,9:00,14:00,0,1106,DC
Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II,,PC,Viernes,17:00,22:00,0,1106,DC
Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional,,PC,Viernes,7:00,11:00,0,1107,DC
Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional,,PC,Viernes,12:00,16:00,0,1107,DC
Laboratorio de Procesamiento de Información Meteorológica/Laboratorio de Procesamiento de Información Oceanográfica ,,PC,Viernes,8:00,13:00,0,1108,DCAO
Introducción a la Investigación Operativa y Optimización/Investigación Operativa/Tópicos en Investigación Operativa ,,PC,Viernes,19:00,21:00,0,1108,IC
